	Area_Feel	Associate_Degree	Bachelor_Degree	Children_percent	City	Cost_of_Living	Crime_Safty	Diversity	Jobs_Level	Master_Degree	Median_Home_Value	Median_Rent	Median_salary	NightLife	Numberof_reviews	Outdoor_Activity	Population	PublicSchool_level	Review_ratings	State	Weather
120	Urban	31	14	19	Buffalo	63	27	99	54	11	72600	710	33119	90	199	90	258989	36	40	City in New York	27
121	Suburban	31	13	18	Akron	81	27	90	45	7	80000	693	35240	81	427	90	198508	36	35	City in Ohio	36
122	Suburban	38	17	19	Spokane	45	36	72	54	12	160800	770	43274	81	519	90	212078	63	35	City in Washington	63
123	Suburban	33	14	25	Bakersfield	45	36	99	54	7	214600	1005	58669	72	729	63	367555	54	35	City in California	90
125	Urban	10	29	10	Cambridge	27	45	90	63	46	629700	1754	83122	99	35	99	108757	99	45	City in Massachusetts	54
126	Suburban	32	15	21	North Charleston	63	27	90	54	6	144200	909	39703	81	173	54	106113	72	35	City in South Carolina	72
127	Suburban	33	19	19	Reno	45	36	90	54	11	235800	872	48815	81	771	90	237121	81	35	City in Nevada	90
128	Urban	25	29	17	Minneapolis	63	27	90	63	19	212800	898	52611	90	333	99	404670	45	45	City in Minnesota	45
129	Suburban	39	26	20	Roseville	27	54	90	63	12	355900	1359	78446	72	91	90	128276	81	45	City in California	99
130	Suburban	23	13	29	Laredo	63	45	45	72	5	113500	764	39548	72	591	18	251671	54	35	City in Texas	99
131	Suburban	35	15	25	Visalia	45	36	90	54	8	190500	939	52099	81	309	63	128738	63	35	City in California	99
133	Suburban	26	21	18	Tampa	54	36	99	63	14	172100	983	45874	81	613	90	361477	54	40	City in Florida	90
134	Suburban	31	18	17	Chattanooga	63	27	90	54	10	152000	765	41278	81	356	90	175462	54	40	City in Tennessee	54
135	Suburban	35	12	20	Toledo	81	27	90	45	6	77800	651	34548	81	458	81	280854	45	35	City in Ohio	45
136	Suburban	16	34	11	Boulder	27	54	72	63	39	554500	1313	60569	90	200	99	105420	99	40	City in Colorado	63
137	Suburban	31	13	20	Waco	63	36	99	54	8	98800	770	34099	81	400	72	130659	63	35	City in Texas	81
138	Suburban	29	11	24	Kansas City	81	27	99	54	5	87500	802	39536	81	269	45	149755	45	35	City in Kansas	63
139	Suburban	32	19	20	Albuquerque	45	27	90	54	15	185400	816	48127	81	389	90	556859	72	40	City in New Mexico	90
140	Suburban	24	15	19	Erie	63	36	81	45	7	86700	662	35205	81	223	90	100157	54	35	City in Pennsylvania	36
141	Suburban	25	24	22	St. Paul	63	36	99	54	16	178400	865	50820	90	180	90	297160	54	45	City in Minnesota	45
142	Suburban	31	18	18	Mobile	72	36	90	45	10	119500	783	38759	81	373	72	193717	45	35	City in Alabama	63
143	Suburban	29	16	18	Lakeland	72	36	90	54	9	109300	890	40918	72	216	81	102714	45	40	City in Florida	90
144	Suburban	21	37	17	Bellevue	27	54	90	63	27	608500	1629	100703	81	45	99	136718	99	45	City in Washington	63
145	Suburban	29	19	16	Knoxville	63	27	81	54	12	120300	766	34556	81	394	72	183927	72	40	City in Tennessee	54
147	Suburban	28	15	24	South Bend	81	27	90	45	10	80500	710	35758	81	194	81	101037	27	35	City in Indiana	36
148	Suburban	31	20	15	St. Petersburg	63	36	90	63	12	154800	959	48183	81	272	90	253585	45	40	City in Florida	90
149	Suburban	23	20	22	Dallas	63	36	99	63	12	142600	888	45215	81	409	81	1278433	63	45	City in Texas	72
150	Suburban	28	34	14	Scottsdale	27	54	72	72	21	405500	1184	76543	81	145	72	234495	90	45	City in Arizona	99
152	Suburban	35	13	19	Port St. Lucie	54	54	90	54	7	149400	1170	50829	72	467	90	175652	45	35	City in Florida	90
153	Suburban	26	23	14	Columbia	63	36	90	54	18	164200	853	42875	90	315	72	132537	72	40	City in South Carolina	72
154	Suburban	35	20	18	Henderson	45	54	90	63	12	237800	1151	64277	72	161	90	277872	54	45	City in Nevada	99
155	Suburban	29	19	20	Montgomery	72	27	90	63	12	116600	827	43440	81	338	45	201717	27	35	City in Alabama	63
156	Suburban	33	22	19	Billings	54	36	63	72	10	198300	799	52944	72	86	72	109089	54	40	City in Montana	54
157	Suburban	35	15	21	Columbus	63	27	90	45	10	138600	844	42661	81	395	54	200303	63	35	City in Georgia	72
158	Suburban	42	17	21	Fayetteville	63	36	99	45	9	127500	884	43882	81	685	72	203670	63	35	City in North Carolina	63
159	Suburban	30	20	21	High Point	63	36	99	45	9	142700	793	43322	81	205	81	108982	72	35	City in North Carolina	63
160	Suburban	29	16	21	Shreveport	72	27	90	54	10	133600	764	38056	81	355	45	198571	45	35	City in Louisiana	72
161	Suburban	28	21	20	Winston-Salem	63	36	99	45	14	142400	734	40898	81	434	81	238474	63	35	City in North Carolina	63
162	Suburban	31	15	21	Beaumont	72	27	99	54	8	99800	787	42395	72	155	72	117729	45	35	City in Texas	72
164	Suburban	33	19	21	Las Cruces	54	45	90	45	14	149200	757	41215	72	390	72	101459	63	35	City in New Mexico	99
165	Suburban	32	24	16	Lakewood	36	36	81	63	13	273200	1067	58227	81	358	90	149793	81	40	City in Colorado	72
166	Suburban	28	23	20	Columbus	72	36	90	63	12	131800	856	47156	81	828	90	837038	54	40	City in Ohio	45
167	Suburban	34	19	20	Tyler	63	45	99	63	9	140000	832	44507	72	221	72	101946	54	40	City in Texas	81
168	Suburban	31	20	21	Peoria	72	36	90	54	14	127200	740	46547	81	149	63	115990	36	30	City in Illinois	54
170	Suburban	34	17	15	Springfield	81	27	63	63	10	109500	683	33769	90	353	81	165138	63	35	City in Missouri	54
171	Suburban	30	18	23	Phoenix	45	36	99	54	10	178200	914	49328	81	746	81	1555324	72	40	City in Arizona	99
172	Suburban	27	31	15	Charleston	54	45	81	72	19	269400	1052	57603	81	498	90	129888	81	40	City in South Carolina	72
173	Suburban	30	23	18	Greensboro	63	36	99	54	13	148500	787	42802	81	590	81	282177	72	35	City in North Carolina	72
174	Suburban	23	26	19	Durham	63	27	99	72	23	183900	913	52115	81	453	81	251761	54	35	City in North Carolina	63
175	Suburban	28	32	16	Fort Collins	36	54	72	72	21	285400	1120	57831	90	635	90	157251	90	40	City in Colorado	72
176	Suburban	31	18	21	Green Bay	72	45	81	63	6	125100	667	43473	81	220	81	104951	63	40	City in Wisconsin	45
178	Suburban	30	22	21	Grand Rapids	72	36	90	63	11	113600	806	42019	81	238	90	193887	45	45	City in Michigan	27
179	Suburban	47	13	26	Killeen	63	36	99	54	5	118400	876	48157	81	368	45	138745	63	35	City in Texas	72
182	Suburban	28	23	20	Little Rock	72	27	90	54	15	154700	803	46578	81	222	81	197640	54	40	City in Arkansas	63
183	Suburban	32	18	21	Des Moines	72	36	90	63	8	119800	775	48088	81	142	63	212859	54	40	City in Iowa	54
184	Suburban	33	23	17	Denton	63	54	90	81	14	162700	932	50487	90	392	54	128421	72	40	City in Texas	72
185	Suburban	23	14	26	Brownsville	72	45	54	54	4	83800	644	34255	72	683	45	182110	63	35	City in Texas	90
186	Suburban	26	24	18	Lafayette	63	36	90	72	12	177100	824	47940	81	243	72	125808	63	40	City in Louisiana	72
188	Suburban	31	17	19	Louisville	72	36	90	63	12	143100	748	46881	81	427	81	611573	54	40	City in Kentucky	54
189	Suburban	24	32	15	Madison	54	45	81	72	25	217000	959	56464	90	496	90	246034	81	40	City in Wisconsin	36
190	Suburban	32	20	22	Arlington	63	45	99	81	9	137900	896	53574	81	641	54	383899	63	40	City in Texas	72
192	Suburban	32	13	19	Evansville	81	36	72	54	7	89600	712	36330	81	285	72	120156	63	35	City in Indiana	54
193	Suburban	32	12	19	Warren	72	45	81	63	5	93400	864	44017	72	271	81	135069	54	35	City in Michigan	54
195	Suburban	28	28	21	Charlotte	63	36	99	72	14	178000	966	55599	81	479	81	808834	63	45	City in North Carolina	72
196	Suburban	30	26	19	Murfreesboro	63	36	81	81	12	186200	925	53241	81	349	63	122007	63	40	City in Tennessee	54
198	Suburban	33	15	17	Cape Coral	63	54	81	63	7	173400	1095	52000	72	416	90	170063	72	35	City in Florida	90
199	Suburban	33	19	22	Aurora	45	45	99	63	9	206300	1092	55303	81	302	90	351131	90	40	City in Colorado	72
200	Suburban	32	19	22	Wichita	81	36	90	63	10	120800	736	46775	81	626	81	388033	45	35	City in Kansas	72
203	Suburban	32	18	20	Lubbock	72	36	90	72	11	118300	854	45499	81	577	45	244507	72	35	City in Texas	90
204	Suburban	30	21	20	Kansas City	72	27	90	72	12	135900	826	47489	81	254	81	471767	72	40	City in Missouri	63
205	Suburban	24	21	13	Pittsburgh	63	36	90	63	19	100800	844	42450	90	321	81	305305	54	45	City in Pennsylvania	36
206	Suburban	24	29	16	Columbia	63	45	81	81	26	178600	803	45221	81	315	81	117165	81	35	City in Missouri	54
207	Suburban	25	21	23	Irving	63	45	99	72	14	147500	953	54868	81	535	45	232013	72	35	City in Texas	72
208	Suburban	35	27	17	Fargo	72	45	63	81	12	178300	727	48060	90	75	72	115950	72	45	City in North Dakota	36
209	Suburban	34	26	19	Boise	54	54	72	72	14	191000	834	52249	72	255	90	218677	72	45	City in Idaho	72
210	Suburban	33	14	21	Corpus Christi	72	36	90	72	7	118900	920	52154	72	721	27	320050	81	35	City in Texas	81
211	Suburban	33	19	23	Midland	63	45	90	99	8	182300	1143	71500	72	180	63	128051	36	35	City in Texas	90
212	Suburban	26	20	24	McAllen	72	54	63	72	8	117500	739	45568	72	343	27	138475	63	35	City in Texas	90
213	Suburban	30	23	21	Omaha	72	36	90	63	12	139800	819	50827	81	866	90	443072	81	35	City in Nebraska	63
214	Suburban	31	19	22	Oklahoma City	72	36	99	72	10	142700	793	50070	81	996	45	620015	72	35	City in Oklahoma	81
215	Suburban	36	15	23	Amarillo	72	36	90	72	7	120500	781	49684	81	323	36	197570	72	35	City in Texas	90
216	Suburban	36	12	18	Palm Bay	72	45	90	54	6	110000	949	43765	72	299	81	106573	90	35	City in Florida	90
217	Suburban	16	29	11	Ann Arbor	54	63	90	72	44	250200	1114	57697	90	312	90	118087	99	40	City in Michigan	36
218	Suburban	29	22	19	Springfield	81	36	81	63	14	123700	742	50191	81	168	45	116745	63	35	City in Illinois	63
219	Suburban	34	24	19	Lincoln	72	45	72	72	13	150200	750	51126	81	546	81	273018	81	40	City in Nebraska	63
220	Suburban	33	18	22	Fort Wayne	90	45	90	63	9	103100	681	44449	81	554	45	260954	54	35	City in Indiana	54
221	Suburban	32	23	21	Sioux Falls	72	45	72	81	10	161500	749	54110	81	350	81	167884	72	40	City in South Dakota	54
222	Suburban	29	26	18	Huntsville	72	36	90	63	16	168900	750	51441	81	514	81	188973	81	40	City in Alabama	63
223	Suburban	35	22	19	Cedar Rapids	81	45	63	72	10	136700	711	55359	81	286	45	129537	72	35	City in Iowa	54
225	Suburban	34	26	24	Round Rock	63	63	99	90	12	192500	1104	74087	81	217	81	112767	99	40	City in Texas	81
226	Suburban	25	33	19	Richardson	63	54	99	81	20	209500	1180	74877	81	173	81	108350	90	40	City in Texas	72
227	Suburban	20	36	21	Naperville	45	72	90	81	30	388400	1360	110676	72	451	90	145789	99	40	City in Illinois	45
229	Suburban	31	25	21	Rochester	81	54	81	90	19	167800	847	65195	81	152	90	111396	81	40	City in Minnesota	45
230	Suburban	26	36	19	Overland Park	63	54	72	90	22	237100	1040	74789	81	294	72	183775	99	40	City in Kansas	63
