	Area_Feel	Associate_Degree	Bachelor_Degree	Children_percent	City	Cost_of_Living	Crime_Safty	Diversity	Jobs_Level	Master_Degree	Median_Home_Value	Median_Rent	Median_salary	NightLife	Numberof_reviews	Outdoor_Activity	Population	PublicSchool_level	Review_ratings	State	Weather
30	Suburban	27	9	27	Santa Maria	70	73	90	73	4	276800	1205	51939	87	187	93	103642	73	35	City in California	97
31	Suburban	28	11	22	Springfield	77	70	97	70	7	146400	839	35742	90	304	93	153991	70	30	City in Massachusetts	77
32	Suburban	21	26	18	Stamford	67	80	97	73	21	504200	1656	81634	90	64	93	127410	83	40	City in Connecticut	77
33	Urban	25	22	17	Oakland	67	70	97	77	17	500500	1189	57778	93	182	97	412040	77	40	City in California	97
34	Suburban	31	22	18	Orange	63	80	97	77	12	565800	1581	79192	90	192	97	139919	83	40	City in California	97
35	Urban	18	26	18	Jersey City	70	73	97	77	18	331300	1233	60703	90	128	93	261666	80	40	City in New Jersey	80
36	Suburban	29	19	19	Hayward	67	73	97	77	7	404500	1417	68138	87	107	97	154507	77	40	City in California	97
37	Urban	21	21	18	New York City	70	77	97	77	15	508900	1294	55191	93	653	97	8461961	87	45	City in New York	80
38	Urban	30	26	17	Costa Mesa	63	77	93	77	11	637200	1641	70438	93	73	97	112439	90	45	City in California	97
39	Urban	31	19	20	Long Beach	67	73	97	73	11	448800	1150	55151	90	369	97	469793	87	40	City in California	97
40	Urban	25	24	20	San Jose	67	77	97	80	16	658000	1689	90303	90	457	97	1009363	87	40	City in California	97
41	Suburban	35	20	19	Santa Rosa	67	77	93	77	11	414800	1371	62705	87	294	97	173165	87	35	City in California	97
42	Suburban	37	21	19	Ventura	67	77	93	77	13	459300	1453	70541	90	83	93	109067	90	40	City in California	97
44	Urban	26	10	22	Allentown	77	73	93	73	5	126100	907	37256	90	117	93	119624	70	35	City in Pennsylvania	77
45	Suburban	38	18	17	Vallejo	70	70	97	73	6	254100	1250	59600	90	250	93	119644	63	30	City in California	97
46	Suburban	29	11	23	Ontario	70	77	90	73	4	293000	1296	54896	90	367	93	169389	80	35	City in California	97
47	Urban	29	15	22	Milwaukee	83	70	97	73	8	115500	798	36801	93	236	93	598672	70	35	City in Wisconsin	73
48	Urban	23	27	16	Pasadena	67	77	97	80	23	649800	1421	73029	90	97	93	140268	83	45	City in California	97
49	Suburban	33	8	21	Detroit	87	67	87	70	6	41000	754	26249	90	864	90	683443	70	35	City in Michigan	77
50	Urban	27	25	15	Glendale	67	80	93	77	14	639700	1355	56069	90	85	93	197895	93	45	City in California	97
51	Suburban	25	22	16	Richmond	80	73	93	73	15	199300	916	41187	93	260	93	216773	73	40	City in Virginia	87
52	Urban	30	28	16	Burbank	63	80	93	77	12	611000	1446	67317	90	228	97	104583	93	40	City in California	97
53	Suburban	24	18	17	Worcester	73	73	93	77	11	206500	975	45599	93	70	93	183677	83	40	City in Massachusetts	77
54	Suburban	35	23	15	Eugene	70	77	87	77	17	246400	921	44859	90	586	93	161649	87	35	City in Oregon	93
55	Urban	20	33	12	San Francisco	67	70	97	87	22	858800	1632	87701	93	372	97	850282	90	45	City in California	97
56	Suburban	29	10	19	Cleveland	87	70	93	70	6	67500	660	26583	90	341	93	389165	70	40	City in Ohio	70
57	Suburban	28	26	17	San Diego	67	77	97	77	18	488600	1427	68117	90	331	93	1374812	93	45	City in California	97
58	Suburban	28	19	16	Manchester	73	73	87	80	9	207200	1029	54899	90	215	93	110231	73	35	City in New Hampshire	73
59	Suburban	32	14	25	Fresno	73	73	97	73	7	187500	901	41842	90	836	83	513807	80	35	City in California	97
60	Suburban	31	17	18	Savannah	80	73	93	77	11	145100	913	37108	90	413	83	144717	70	35	City in Georgia	87
61	Suburban	34	16	18	Norfolk	80	73	97	70	11	193100	980	45268	93	189	90	245724	77	35	City in Virginia	87
62	Urban	29	14	20	Rochester	80	70	97	73	10	77800	779	31684	93	207	93	210291	73	40	City in New York	70
63	Suburban	27	22	15	Fort Lauderdale	77	73	97	77	13	273400	1135	51648	90	195	93	175153	80	40	City in Florida	93
64	Suburban	24	20	15	Athens	80	77	93	77	20	152600	799	32959	93	380	90	120813	77	40	City in Georgia	83
66	Urban	21	31	18	Santa Clara	67	80	97	83	26	734500	1917	102533	90	146	93	122725	90	35	City in California	97
67	Suburban	40	15	19	Everett	73	73	93	80	6	242200	1018	50933	90	80	87	106580	83	35	City in Washington	80
68	Urban	29	31	17	Torrance	67	80	97	80	16	652600	1512	80862	90	131	97	147307	93	40	City in California	97
69	Urban	24	16	18	Baltimore	80	70	93	73	14	153000	974	44262	93	400	93	621000	73	35	City in Maryland	80
70	Suburban	32	12	24	Stockton	77	70	97	73	6	191000	967	46033	87	595	93	301443	80	30	City in California	97
71	Suburban	37	7	27	Victorville	77	73	97	77	5	158900	1154	45895	87	305	93	121320	70	30	City in California	90
72	Suburban	29	29	18	Thousand Oaks	67	83	93	80	21	637100	1896	101045	87	254	97	128623	97	40	City in California	97
73	Suburban	29	32	19	Carlsbad	67	80	90	80	24	674400	1830	97145	87	243	93	112008	97	45	City in California	97
74	Suburban	27	21	17	New Orleans	77	70	93	77	15	197000	929	37488	90	296	80	382922	83	40	City in Louisiana	83
75	Suburban	31	13	20	Riverside	70	73	97	77	9	286600	1194	58979	90	206	93	318678	80	40	City in California	97
76	Suburban	28	15	16	Pompano Beach	80	73	97	77	8	165300	1099	42641	90	178	93	106004	77	35	City in Florida	93
77	Urban	23	15	19	Philadelphia	80	70	97	73	11	147300	943	39770	93	852	93	1559938	73	40	City in Pennsylvania	80
78	Suburban	32	19	20	Sacramento	73	73	97	77	11	259400	1057	52071	90	311	93	484530	83	40	City in California	97
79	Urban	28	15	18	Syracuse	80	70	97	77	12	89900	737	32704	93	290	93	144350	80	35	City in New York	67
80	Suburban	26	28	14	College Station	77	80	93	83	28	192700	904	36471	93	507	90	104684	93	40	City in Texas	87
81	Suburban	36	18	21	Fairfield	70	73	97	77	7	305400	1359	69396	90	202	93	110953	83	35	City in California	97
82	Suburban	34	18	18	Tacoma	77	70	93	80	9	212400	980	53553	90	208	93	205602	83	40	City in Washington	80
83	Suburban	33	18	21	Corona	70	80	97	80	9	378500	1426	72309	87	476	93	161614	90	35	City in California	97
84	Suburban	28	22	11	Gainesville	80	73	93	80	22	143900	858	32716	93	672	93	128610	87	40	City in Florida	90
85	Suburban	27	21	16	West Palm Beach	77	70	97	83	12	198100	1096	46672	90	237	83	104978	73	40	City in Florida	93
86	Suburban	35	17	21	Kent	73	77	97	80	7	262800	1097	61033	90	95	97	125492	83	35	City in Washington	83
87	Suburban	21	39	19	Irvine	63	83	97	83	29	718800	1997	93823	90	188	97	246992	97	45	City in California	97
88	Suburban	39	15	18	Hampton	80	77	93	73	9	187700	1032	49890	90	125	93	136789	77	40	City in Virginia	87
89	Suburban	31	27	15	Wilmington	80	70	90	77	14	224300	872	43855	90	295	93	113724	90	40	City in North Carolina	87
90	Suburban	22	27	16	Atlanta	80	70	93	80	21	222300	998	49398	93	536	93	456378	77	40	City in Georgia	87
91	Suburban	36	12	21	Modesto	77	70	97	73	6	208000	1034	50996	87	363	93	208512	80	30	City in California	97
92	Suburban	29	28	16	Portland	70	73	90	80	19	319400	1025	58423	93	544	97	620589	87	40	City in Oregon	83
93	Urban	23	36	13	Seattle	70	73	93	83	25	484600	1266	74458	93	375	97	668849	90	45	City in Washington	83
94	Urban	18	30	20	Sunnyvale	67	80	97	87	31	859100	1949	109799	93	165	97	149596	93	40	City in California	97
95	Suburban	29	26	14	Tallahassee	80	70	93	77	22	182200	931	40947	93	832	93	188466	83	35	City in Florida	87
96	Suburban	36	11	19	Dayton	90	70	93	73	7	66600	636	28745	90	143	90	141143	73	35	City in Ohio	80
97	Suburban	32	13	21	Rockford	87	70	93	73	9	91400	719	40143	90	273	93	149597	80	30	City in Illinois	77
98	Suburban	32	15	22	Jackson	87	70	87	73	11	89500	767	32866	87	276	83	172039	70	30	City in Mississippi	83
99	Suburban	35	17	21	Salem	77	77	93	80	10	188900	819	49126	90	288	93	161975	77	35	City in Oregon	83
100	Urban	17	33	10	Berkeley	67	77	97	83	39	795200	1434	70393	93	79	97	118585	97	40	City in California	97
101	Suburban	37	12	19	Pueblo	80	70	93	73	7	116800	751	35770	90	309	90	108385	77	30	City in Colorado	90
102	Suburban	35	15	18	Tucson	80	73	93	77	10	132200	772	37973	90	802	93	527586	80	40	City in Arizona	97
103	Suburban	32	16	18	Birmingham	87	70	90	73	9	87100	744	32404	90	196	80	212424	70	40	City in Alabama	83
104	Suburban	26	25	18	Salt Lake City	73	73	93	83	19	248700	844	50353	93	365	97	191446	80	40	City in Utah	87
107	Suburban	30	23	18	Orlando	80	70	97	80	12	172100	1040	44007	90	849	93	263306	83	45	City in Florida	93
108	Suburban	30	15	21	Memphis	83	70	93	73	10	93700	842	36975	90	685	83	655857	77	35	City in Tennessee	83
109	Suburban	29	19	17	St. Louis	87	67	93	73	14	120900	759	36809	93	198	90	316030	70	35	City in Missouri	80
110	Suburban	23	28	18	Denver	73	73	93	87	18	292700	1035	56258	93	474	93	663303	80	45	City in Colorado	87
111	Suburban	37	15	20	Newport News	80	73	97	77	10	189000	972	50089	90	179	90	181606	83	35	City in Virginia	87
112	Suburban	20	37	18	Sandy Springs	73	80	93	83	23	421600	1083	68629	90	140	93	102212	90	40	City in Georgia	87
113	Suburban	34	19	16	Clearwater	80	73	90	80	9	163500	970	44569	90	232	93	111747	77	40	City in Florida	93
114	Urban	17	29	16	Alexandria	73	80	97	83	33	520700	1611	89200	93	141	93	151473	93	45	City in Virginia	83
115	Suburban	27	20	19	Cincinnati	87	70	93	77	14	120300	662	34629	93	297	93	298011	83	40	City in Ohio	77
116	Suburban	28	19	18	Baton Rouge	83	70	93	80	13	158400	797	39969	90	257	80	228694	73	35	City in Louisiana	83
118	Suburban	37	16	20	Lansing	87	70	93	80	9	75500	763	36851	90	183	93	114773	73	35	City in Michigan	77
119	Suburban	33	19	20	Jacksonville	83	73	93	83	8	140000	955	48256	90	658	83	856616	70	40	City in Florida	87
120	Urban	31	14	19	Buffalo	83	70	97	80	11	72600	710	33119	93	199	93	258989	73	40	City in New York	70
121	Suburban	31	13	18	Akron	90	70	93	77	7	80000	693	35240	90	427	93	198508	73	35	City in Ohio	73
122	Suburban	38	17	19	Spokane	77	73	87	80	12	160800	770	43274	90	519	93	212078	83	35	City in Washington	83
123	Suburban	33	14	25	Bakersfield	77	73	97	80	7	214600	1005	58669	87	729	83	367555	80	35	City in California	93
125	Urban	10	29	10	Cambridge	70	77	93	83	46	629700	1754	83122	97	35	97	108757	97	45	City in Massachusetts	80
126	Suburban	32	15	21	North Charleston	83	70	93	80	6	144200	909	39703	90	173	80	106113	87	35	City in South Carolina	87
127	Suburban	33	19	19	Reno	77	73	93	80	11	235800	872	48815	90	771	93	237121	90	35	City in Nevada	93
128	Urban	25	29	17	Minneapolis	83	70	93	83	19	212800	898	52611	93	333	97	404670	77	45	City in Minnesota	77
129	Suburban	39	26	20	Roseville	70	80	93	83	12	355900	1359	78446	87	91	93	128276	90	45	City in California	97
130	Suburban	23	13	29	Laredo	83	77	77	87	5	113500	764	39548	87	591	67	251671	80	35	City in Texas	97
131	Suburban	35	15	25	Visalia	77	73	93	80	8	190500	939	52099	90	309	83	128738	83	35	City in California	97
133	Suburban	26	21	18	Tampa	80	73	97	83	14	172100	983	45874	90	613	93	361477	80	40	City in Florida	93
134	Suburban	31	18	17	Chattanooga	83	70	93	80	10	152000	765	41278	90	356	93	175462	80	40	City in Tennessee	80
135	Suburban	35	12	20	Toledo	90	70	93	77	6	77800	651	34548	90	458	90	280854	77	35	City in Ohio	77
136	Suburban	16	34	11	Boulder	70	80	87	83	39	554500	1313	60569	93	200	97	105420	97	40	City in Colorado	83
137	Suburban	31	13	20	Waco	83	73	97	80	8	98800	770	34099	90	400	87	130659	83	35	City in Texas	90
138	Suburban	29	11	24	Kansas City	90	70	97	80	5	87500	802	39536	90	269	77	149755	77	35	City in Kansas	83
139	Suburban	32	19	20	Albuquerque	77	70	93	80	15	185400	816	48127	90	389	93	556859	87	40	City in New Mexico	93
140	Suburban	24	15	19	Erie	83	73	90	77	7	86700	662	35205	90	223	93	100157	80	35	City in Pennsylvania	73
141	Suburban	25	24	22	St. Paul	83	73	97	80	16	178400	865	50820	93	180	93	297160	80	45	City in Minnesota	77
142	Suburban	31	18	18	Mobile	87	73	93	77	10	119500	783	38759	90	373	87	193717	77	35	City in Alabama	83
143	Suburban	29	16	18	Lakeland	87	73	93	80	9	109300	890	40918	87	216	90	102714	77	40	City in Florida	93
144	Suburban	21	37	17	Bellevue	70	80	93	83	27	608500	1629	100703	90	45	97	136718	97	45	City in Washington	83
145	Suburban	29	19	16	Knoxville	83	70	90	80	12	120300	766	34556	90	394	87	183927	87	40	City in Tennessee	80
147	Suburban	28	15	24	South Bend	90	70	93	77	10	80500	710	35758	90	194	90	101037	70	35	City in Indiana	73
148	Suburban	31	20	15	St. Petersburg	83	73	93	83	12	154800	959	48183	90	272	93	253585	77	40	City in Florida	93
149	Suburban	23	20	22	Dallas	83	73	97	83	12	142600	888	45215	90	409	90	1278433	83	45	City in Texas	87
150	Suburban	28	34	14	Scottsdale	70	80	87	87	21	405500	1184	76543	90	145	87	234495	93	45	City in Arizona	97
152	Suburban	35	13	19	Port St. Lucie	80	80	93	80	7	149400	1170	50829	87	467	93	175652	77	35	City in Florida	93
153	Suburban	26	23	14	Columbia	83	73	93	80	18	164200	853	42875	93	315	87	132537	87	40	City in South Carolina	87
154	Suburban	35	20	18	Henderson	77	80	93	83	12	237800	1151	64277	87	161	93	277872	80	45	City in Nevada	97
155	Suburban	29	19	20	Montgomery	87	70	93	83	12	116600	827	43440	90	338	77	201717	70	35	City in Alabama	83
156	Suburban	33	22	19	Billings	80	73	83	87	10	198300	799	52944	87	86	87	109089	80	40	City in Montana	80
157	Suburban	35	15	21	Columbus	83	70	93	77	10	138600	844	42661	90	395	80	200303	83	35	City in Georgia	87
158	Suburban	42	17	21	Fayetteville	83	73	97	77	9	127500	884	43882	90	685	87	203670	83	35	City in North Carolina	83
159	Suburban	30	20	21	High Point	83	73	97	77	9	142700	793	43322	90	205	90	108982	87	35	City in North Carolina	83
160	Suburban	29	16	21	Shreveport	87	70	93	80	10	133600	764	38056	90	355	77	198571	77	35	City in Louisiana	87
161	Suburban	28	21	20	Winston-Salem	83	73	97	77	14	142400	734	40898	90	434	90	238474	83	35	City in North Carolina	83
162	Suburban	31	15	21	Beaumont	87	70	97	80	8	99800	787	42395	87	155	87	117729	77	35	City in Texas	87
164	Suburban	33	19	21	Las Cruces	80	77	93	77	14	149200	757	41215	87	390	87	101459	83	35	City in New Mexico	97
165	Suburban	32	24	16	Lakewood	73	73	90	83	13	273200	1067	58227	90	358	93	149793	90	40	City in Colorado	87
166	Suburban	28	23	20	Columbus	87	73	93	83	12	131800	856	47156	90	828	93	837038	80	40	City in Ohio	77
167	Suburban	34	19	20	Tyler	83	77	97	83	9	140000	832	44507	87	221	87	101946	80	40	City in Texas	90
168	Suburban	31	20	21	Peoria	87	73	93	80	14	127200	740	46547	90	149	83	115990	73	30	City in Illinois	80
170	Suburban	34	17	15	Springfield	90	70	83	83	10	109500	683	33769	93	353	90	165138	83	35	City in Missouri	80
171	Suburban	30	18	23	Phoenix	77	73	97	80	10	178200	914	49328	90	746	90	1555324	87	40	City in Arizona	97
172	Suburban	27	31	15	Charleston	80	77	90	87	19	269400	1052	57603	90	498	93	129888	90	40	City in South Carolina	87
173	Suburban	30	23	18	Greensboro	83	73	97	80	13	148500	787	42802	90	590	90	282177	87	35	City in North Carolina	87
174	Suburban	23	26	19	Durham	83	70	97	87	23	183900	913	52115	90	453	90	251761	80	35	City in North Carolina	83
175	Suburban	28	32	16	Fort Collins	73	80	87	87	21	285400	1120	57831	93	635	93	157251	93	40	City in Colorado	87
176	Suburban	31	18	21	Green Bay	87	77	90	83	6	125100	667	43473	90	220	90	104951	83	40	City in Wisconsin	77
178	Suburban	30	22	21	Grand Rapids	87	73	93	83	11	113600	806	42019	90	238	93	193887	77	45	City in Michigan	70
179	Suburban	47	13	26	Killeen	83	73	97	80	5	118400	876	48157	90	368	77	138745	83	35	City in Texas	87
182	Suburban	28	23	20	Little Rock	87	70	93	80	15	154700	803	46578	90	222	90	197640	80	40	City in Arkansas	83
183	Suburban	32	18	21	Des Moines	87	73	93	83	8	119800	775	48088	90	142	83	212859	80	40	City in Iowa	80
184	Suburban	33	23	17	Denton	83	80	93	90	14	162700	932	50487	93	392	80	128421	87	40	City in Texas	87
185	Suburban	23	14	26	Brownsville	87	77	80	80	4	83800	644	34255	87	683	77	182110	83	35	City in Texas	93
186	Suburban	26	24	18	Lafayette	83	73	93	87	12	177100	824	47940	90	243	87	125808	83	40	City in Louisiana	87
188	Suburban	31	17	19	Louisville	87	73	93	83	12	143100	748	46881	90	427	90	611573	80	40	City in Kentucky	80
189	Suburban	24	32	15	Madison	80	77	90	87	25	217000	959	56464	93	496	93	246034	90	40	City in Wisconsin	73
190	Suburban	32	20	22	Arlington	83	77	97	90	9	137900	896	53574	90	641	80	383899	83	40	City in Texas	87
192	Suburban	32	13	19	Evansville	90	73	87	80	7	89600	712	36330	90	285	87	120156	83	35	City in Indiana	80
193	Suburban	32	12	19	Warren	87	77	90	83	5	93400	864	44017	87	271	90	135069	80	35	City in Michigan	80
195	Suburban	28	28	21	Charlotte	83	73	97	87	14	178000	966	55599	90	479	90	808834	83	45	City in North Carolina	87
196	Suburban	30	26	19	Murfreesboro	83	73	90	90	12	186200	925	53241	90	349	83	122007	83	40	City in Tennessee	80
198	Suburban	33	15	17	Cape Coral	83	80	90	83	7	173400	1095	52000	87	416	93	170063	87	35	City in Florida	93
199	Suburban	33	19	22	Aurora	77	77	97	83	9	206300	1092	55303	90	302	93	351131	93	40	City in Colorado	87
200	Suburban	32	19	22	Wichita	90	73	93	83	10	120800	736	46775	90	626	90	388033	77	35	City in Kansas	87
203	Suburban	32	18	20	Lubbock	87	73	93	87	11	118300	854	45499	90	577	77	244507	87	35	City in Texas	93
204	Suburban	30	21	20	Kansas City	87	70	93	87	12	135900	826	47489	90	254	90	471767	87	40	City in Missouri	83
205	Suburban	24	21	13	Pittsburgh	83	73	93	83	19	100800	844	42450	93	321	90	305305	80	45	City in Pennsylvania	73
206	Suburban	24	29	16	Columbia	83	77	90	90	26	178600	803	45221	90	315	90	117165	90	35	City in Missouri	80
207	Suburban	25	21	23	Irving	83	77	97	87	14	147500	953	54868	90	535	77	232013	87	35	City in Texas	87
208	Suburban	35	27	17	Fargo	87	77	83	90	12	178300	727	48060	93	75	87	115950	87	45	City in North Dakota	73
209	Suburban	34	26	19	Boise	80	80	87	87	14	191000	834	52249	87	255	93	218677	87	45	City in Idaho	87
210	Suburban	33	14	21	Corpus Christi	87	73	93	87	7	118900	920	52154	87	721	70	320050	90	35	City in Texas	90
211	Suburban	33	19	23	Midland	83	77	93	97	8	182300	1143	71500	87	180	83	128051	73	35	City in Texas	93
212	Suburban	26	20	24	McAllen	87	80	83	87	8	117500	739	45568	87	343	70	138475	83	35	City in Texas	93
213	Suburban	30	23	21	Omaha	87	73	93	83	12	139800	819	50827	90	866	93	443072	90	35	City in Nebraska	83
214	Suburban	31	19	22	Oklahoma City	87	73	97	87	10	142700	793	50070	90	996	77	620015	87	35	City in Oklahoma	90
215	Suburban	36	15	23	Amarillo	87	73	93	87	7	120500	781	49684	90	323	73	197570	87	35	City in Texas	93
216	Suburban	36	12	18	Palm Bay	87	77	93	80	6	110000	949	43765	87	299	90	106573	93	35	City in Florida	93
217	Suburban	16	29	11	Ann Arbor	80	83	93	87	44	250200	1114	57697	93	312	93	118087	97	40	City in Michigan	73
218	Suburban	29	22	19	Springfield	90	73	90	83	14	123700	742	50191	90	168	77	116745	83	35	City in Illinois	83
219	Suburban	34	24	19	Lincoln	87	77	87	87	13	150200	750	51126	90	546	90	273018	90	40	City in Nebraska	83
220	Suburban	33	18	22	Fort Wayne	93	77	93	83	9	103100	681	44449	90	554	77	260954	80	35	City in Indiana	80
221	Suburban	32	23	21	Sioux Falls	87	77	87	90	10	161500	749	54110	90	350	90	167884	87	40	City in South Dakota	80
222	Suburban	29	26	18	Huntsville	87	73	93	83	16	168900	750	51441	90	514	90	188973	90	40	City in Alabama	83
223	Suburban	35	22	19	Cedar Rapids	90	77	83	87	10	136700	711	55359	90	286	77	129537	87	35	City in Iowa	80
225	Suburban	34	26	24	Round Rock	83	83	97	93	12	192500	1104	74087	90	217	90	112767	97	40	City in Texas	90
226	Suburban	25	33	19	Richardson	83	80	97	90	20	209500	1180	74877	90	173	90	108350	93	40	City in Texas	87
227	Suburban	20	36	21	Naperville	77	87	93	90	30	388400	1360	110676	87	451	93	145789	97	40	City in Illinois	77
229	Suburban	31	25	21	Rochester	90	80	90	93	19	167800	847	65195	90	152	93	111396	90	40	City in Minnesota	77
230	Suburban	26	36	19	Overland Park	83	80	87	93	22	237100	1040	74789	90	294	87	183775	97	40	City in Kansas	83
